Country,DateTime,CarbonIntensity,UpdatedAt,CreatedAt,EmissionFactorType,IsEstimated,EstimationMethod
AU-TAS,2023-06-20T04:00:00.000Z,24,2023-06-20T05:53:02.367Z,2023-06-17T04:52:43.569Z,lifecycle,False,
AU-TAS,2023-06-20T05:00:00.000Z,24,2023-06-20T06:54:13.398Z,2023-06-17T05:58:04.608Z,lifecycle,False,
AU-TAS,2023-06-20T06:00:00.000Z,30,2023-06-20T07:54:16.757Z,2023-06-17T06:57:32.268Z,lifecycle,False,
AU-TAS,2023-06-20T07:00:00.000Z,37,2023-06-20T08:56:59.433Z,2023-06-17T07:54:33.419Z,lifecycle,False,
AU-TAS,2023-06-20T08:00:00.000Z,37,2023-06-20T09:56:17.527Z,2023-06-17T09:03:33.915Z,lifecycle,False,
AU-TAS,2023-06-20T09:00:00.000Z,37,2023-06-20T10:53:27.927Z,2023-06-17T09:57:39.820Z,lifecycle,False,
AU-TAS,2023-06-20T10:00:00.000Z,47,2023-06-20T11:52:54.295Z,2023-06-17T10:58:42.840Z,lifecycle,False,
AU-TAS,2023-06-20T11:00:00.000Z,52,2023-06-20T12:59:59.535Z,2023-06-17T11:57:42.203Z,lifecycle,False,
AU-TAS,2023-06-20T12:00:00.000Z,52,2023-06-20T13:00:39.941Z,2023-06-17T12:56:10.913Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-TAS,2023-06-20T13:00:00.000Z,53,2023-06-20T13:00:18.822Z,2023-06-17T13:53:32.858Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-VIC,2023-06-19T14:00:00.000Z,537,2023-06-19T15:56:55.359Z,2023-06-16T14:57:20.237Z,lifecycle,False,
AU-VIC,2023-06-19T15:00:00.000Z,554,2023-06-19T16:57:20.875Z,2023-06-16T15:56:21.711Z,lifecycle,False,
AU-VIC,2023-06-19T16:00:00.000Z,582,2023-06-19T17:53:11.616Z,2023-06-16T16:53:54.812Z,lifecycle,False,
AU-VIC,2023-06-19T17:00:00.000Z,597,2023-06-19T18:55:21.801Z,2023-06-16T17:55:25.504Z,lifecycle,False,
AU-VIC,2023-06-19T18:00:00.000Z,605,2023-06-19T19:51:57.706Z,2023-06-16T18:53:05.927Z,lifecycle,False,
AU-VIC,2023-06-19T19:00:00.000Z,591,2023-06-19T20:52:05.975Z,2023-06-16T19:58:34.694Z,lifecycle,False,
AU-VIC,2023-06-19T20:00:00.000Z,555,2023-06-19T21:52:37.819Z,2023-06-16T20:58:03.977Z,lifecycle,False,
AU-VIC,2023-06-19T21:00:00.000Z,542,2023-06-19T22:56:27.680Z,2023-06-16T21:53:12.916Z,lifecycle,False,
AU-VIC,2023-06-19T22:00:00.000Z,517,2023-06-19T23:57:34.145Z,2023-06-16T22:53:42.522Z,lifecycle,False,
AU-VIC,2023-06-19T23:00:00.000Z,515,2023-06-20T00:53:37.731Z,2023-06-16T23:57:18.618Z,lifecycle,False,
AU-VIC,2023-06-20T00:00:00.000Z,510,2023-06-20T01:53:46.398Z,2023-06-17T00:53:39.259Z,lifecycle,False,
AU-VIC,2023-06-20T01:00:00.000Z,499,2023-06-20T03:00:48.569Z,2023-06-17T02:01:51.034Z,lifecycle,False,
AU-VIC,2023-06-20T02:00:00.000Z,489,2023-06-20T03:52:55.536Z,2023-06-17T02:54:18.301Z,lifecycle,False,
AU-VIC,2023-06-20T03:00:00.000Z,499,2023-06-20T04:54:50.522Z,2023-06-17T03:55:35.374Z,lifecycle,False,
AU-VIC,2023-06-20T04:00:00.000Z,520,2023-06-20T05:53:02.367Z,2023-06-17T04:52:43.569Z,lifecycle,False,
AU-VIC,2023-06-20T05:00:00.000Z,514,2023-06-20T06:54:28.836Z,2023-06-17T05:58:11.423Z,lifecycle,False,
AU-VIC,2023-06-20T06:00:00.000Z,523,2023-06-20T07:54:16.757Z,2023-06-17T06:57:26.142Z,lifecycle,False,
AU-VIC,2023-06-20T07:00:00.000Z,535,2023-06-20T08:56:16.755Z,2023-06-17T07:54:49.029Z,lifecycle,False,
AU-VIC,2023-06-20T08:00:00.000Z,531,2023-06-20T09:56:17.527Z,2023-06-17T09:03:33.915Z,lifecycle,False,
AU-VIC,2023-06-20T09:00:00.000Z,525,2023-06-20T10:53:27.927Z,2023-06-17T09:57:39.820Z,lifecycle,False,
AU-VIC,2023-06-20T10:00:00.000Z,527,2023-06-20T11:53:09.531Z,2023-06-17T10:58:22.966Z,lifecycle,False,
AU-VIC,2023-06-20T11:00:00.000Z,531,2023-06-20T13:00:39.941Z,2023-06-17T11:57:26.915Z,lifecycle,False,
AU-VIC,2023-06-20T12:00:00.000Z,533,2023-06-20T13:00:39.941Z,2023-06-17T12:56:10.913Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-VIC,2023-06-20T13:00:00.000Z,531,2023-06-20T13:00:18.822Z,2023-06-17T13:53:32.858Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-WA,2023-06-19T14:00:00.000Z,591,2023-06-19T16:57:20.875Z,2023-06-16T14:57:20.237Z,lifecycle,False,
AU-WA,2023-06-19T15:00:00.000Z,602,2023-06-19T17:53:00.813Z,2023-06-16T15:56:21.711Z,lifecycle,False,
AU-WA,2023-06-19T16:00:00.000Z,607,2023-06-19T18:55:09.605Z,2023-06-16T16:53:59.551Z,lifecycle,False,
AU-WA,2023-06-19T17:00:00.000Z,593,2023-06-19T19:51:57.706Z,2023-06-16T17:55:45.065Z,lifecycle,False,
AU-WA,2023-06-19T18:00:00.000Z,574,2023-06-19T20:52:05.975Z,2023-06-16T18:53:05.927Z,lifecycle,False,
AU-WA,2023-06-19T19:00:00.000Z,563,2023-06-19T21:52:37.819Z,2023-06-16T19:58:34.694Z,lifecycle,False,
AU-WA,2023-06-19T20:00:00.000Z,543,2023-06-19T22:56:27.680Z,2023-06-16T20:58:13.837Z,lifecycle,False,
AU-WA,2023-06-19T21:00:00.000Z,542,2023-06-19T23:57:34.145Z,2023-06-16T21:53:27.933Z,lifecycle,False,
AU-WA,2023-06-19T22:00:00.000Z,544,2023-06-20T00:53:37.731Z,2023-06-16T22:53:24.172Z,lifecycle,False,
AU-WA,2023-06-19T23:00:00.000Z,544,2023-06-20T03:00:48.569Z,2023-06-16T23:57:18.618Z,lifecycle,False,
AU-WA,2023-06-20T00:00:00.000Z,540,2023-06-20T03:00:48.569Z,2023-06-17T00:53:39.259Z,lifecycle,False,
AU-WA,2023-06-20T01:00:00.000Z,481,2023-06-20T05:53:02.367Z,2023-06-17T02:01:51.034Z,lifecycle,False,
AU-WA,2023-06-20T02:00:00.000Z,418,2023-06-20T10:53:13.090Z,2023-06-17T02:54:19.954Z,lifecycle,False,
AU-WA,2023-06-20T03:00:00.000Z,330,2023-06-20T06:54:28.836Z,2023-06-17T03:55:30.499Z,lifecycle,False,
AU-WA,2023-06-20T04:00:00.000Z,319,2023-06-20T07:54:16.757Z,2023-06-17T04:52:43.569Z,lifecycle,False,
AU-WA,2023-06-20T05:00:00.000Z,310,2023-06-20T10:53:27.927Z,2023-06-17T05:58:11.423Z,lifecycle,False,
AU-WA,2023-06-20T06:00:00.000Z,340,2023-06-20T09:56:01.132Z,2023-06-17T06:57:11.593Z,lifecycle,False,
AU-WA,2023-06-20T07:00:00.000Z,395,2023-06-20T10:53:32.809Z,2023-06-17T07:54:33.419Z,lifecycle,False,
AU-WA,2023-06-20T08:00:00.000Z,471,2023-06-20T12:59:59.535Z,2023-06-17T09:03:33.915Z,lifecycle,False,
